"high","low","volatility","ts","name"
"279.23","278.63","0.6","2022-11-04 13:25:00-04:00","HD"
"278.83","278.25","0.58","2022-11-04 13:30:00-04:00","HD"
"278.65","278.01","0.64","2022-11-04 13:35:00-04:00","HD"
"278.36","277.79","0.57","2022-11-04 13:40:00-04:00","HD"
"278.41","277.72","0.69","2022-11-04 13:45:00-04:00","HD"
"278.49","278.08","0.41","2022-11-04 13:50:00-04:00","HD"
"278.29","277.5","0.79","2022-11-04 13:55:00-04:00","HD"
"278.57","277.61","0.96","2022-11-04 14:00:00-04:00","HD"
"278.22","277.67","0.55","2022-11-04 14:05:00-04:00","HD"
"278.14","277.67","0.47","2022-11-04 14:10:00-04:00","HD"
"278.64","277.81","0.83","2022-11-04 14:15:00-04:00","HD"
"279.17","278.42","0.75","2022-11-04 14:20:00-04:00","HD"
"280.0","279.05","0.95","2022-11-04 14:25:00-04:00","HD"
"280.23","279.67","0.56","2022-11-04 14:30:00-04:00","HD"
"280.51","279.98","0.53","2022-11-04 14:35:00-04:00","HD"
"281.45","280.0","1.45","2022-11-04 14:40:00-04:00","HD"
"281.4","280.71","0.69","2022-11-04 14:45:00-04:00","HD"
"281.24","280.83","0.41","2022-11-04 14:50:00-04:00","HD"
"281.81","281.11","0.7","2022-11-04 14:55:00-04:00","HD"
"282.13","281.59","0.54","2022-11-04 15:00:00-04:00","HD"
"282.7","281.94","0.76","2022-11-04 15:05:00-04:00","HD"
"283.05","282.55","0.5","2022-11-04 15:10:00-04:00","HD"
"282.8","281.98","0.82","2022-11-04 15:15:00-04:00","HD"
"282.23","281.39","0.83","2022-11-04 15:20:00-04:00","HD"
"282.44","281.53","0.91","2022-11-04 15:25:00-04:00","HD"
"282.94","282.04","0.9","2022-11-04 15:30:00-04:00","HD"
"283.3","282.56","0.74","2022-11-04 15:35:00-04:00","HD"
"283.81","282.83","0.98","2022-11-04 15:40:00-04:00","HD"
"284.34","283.48","0.86","2022-11-04 15:45:00-04:00","HD"
"283.67","283.06","0.61","2022-11-04 15:50:00-04:00","HD"
"284.42","283.38","1.05","2022-11-04 15:55:00-04:00","HD"
"486.77","481.01","5.76","2022-10-24 09:30:00-04:00","COST"
"489.31","485.44","3.87","2022-10-24 09:35:00-04:00","COST"
"488.64","486.64","2.0","2022-10-24 09:40:00-04:00","COST"
"492.0","489.28","2.72","2022-10-24 09:45:00-04:00","COST"
"490.93","488.74","2.19","2022-10-24 09:50:00-04:00","COST"
"492.11","490.0","2.11","2022-10-24 09:55:00-04:00","COST"
"491.12","487.24","3.88","2022-10-24 10:00:00-04:00","COST"
"488.16","486.1","2.06","2022-10-24 10:05:00-04:00","COST"
"487.52","486.45","1.07","2022-10-24 10:10:00-04:00","COST"
"487.37","485.16","2.21","2022-10-24 10:15:00-04:00","COST"
"486.24","484.34","1.9","2022-10-24 10:20:00-04:00","COST"
"487.56","485.37","2.19","2022-10-24 10:25:00-04:00","COST"
"487.73","486.69","1.04","2022-10-24 10:30:00-04:00","COST"
"489.26","487.0","2.26","2022-10-24 10:35:00-04:00","COST"
"489.26","488.31","0.95","2022-10-24 10:40:00-04:00","COST"
"488.66","487.15","1.51","2022-10-24 10:45:00-04:00","COST"
"489.39","487.35","2.04","2022-10-24 10:50:00-04:00","COST"
"488.19","487.35","0.84","2022-10-24 10:55:00-04:00","COST"
"488.98","487.6","1.38","2022-10-24 11:00:00-04:00","COST"
"489.53","488.42","1.11","2022-10-24 11:05:00-04:00","COST"
"490.17","489.11","1.06","2022-10-24 11:10:00-04:00","COST"
"490.71","489.13","1.58","2022-10-24 11:15:00-04:00","COST"
"491.65","489.85","1.8","2022-10-24 11:20:00-04:00","COST"
"491.75","490.74","1.01","2022-10-24 11:25:00-04:00","COST"
"491.32","490.25","1.07","2022-10-24 11:30:00-04:00","COST"
"492.0","490.58","1.42","2022-10-24 11:35:00-04:00","COST"
"491.94","490.74","1.2","2022-10-24 11:40:00-04:00","COST"
"491.09","490.0","1.09","2022-10-24 11:45:00-04:00","COST"
"492.73","490.52","2.21","2022-10-24 11:50:00-04:00","COST"
"493.38","492.2","1.18","2022-10-24 11:55:00-04:00","COST"
"493.77","492.68","1.09","2022-10-24 12:00:00-04:00","COST"
"493.58","492.83","0.75","2022-10-24 12:05:00-04:00","COST"
"494.15","493.28","0.87","2022-10-24 12:10:00-04:00","COST"
"494.97","493.86","1.11","2022-10-24 12:15:00-04:00","COST"
"495.4","494.33","1.07","2022-10-24 12:20:00-04:00","COST"
"495.65","494.86","0.79","2022-10-24 12:25:00-04:00","COST"
"495.02","494.32","0.7","2022-10-24 12:30:00-04:00","COST"
"495.07","494.17","0.9","2022-10-24 12:35:00-04:00","COST"
"494.59","493.62","0.97","2022-10-24 12:40:00-04:00","COST"
"494.86","493.99","0.86","2022-10-24 12:45:00-04:00","COST"
"494.64","494.04","0.6","2022-10-24 12:50:00-04:00","COST"
"494.79","493.63","1.16","2022-10-24 12:55:00-04:00","COST"
"493.88","493.17","0.71","2022-10-24 13:00:00-04:00","COST"
"494.16","493.38","0.78","2022-10-24 13:05:00-04:00","COST"
"494.19","493.56","0.63","2022-10-24 13:10:00-04:00","COST"
"493.89","493.21","0.68","2022-10-24 13:15:00-04:00","COST"
"493.26","492.4","0.86","2022-10-24 13:20:00-04:00","COST"
"493.33","492.52","0.81","2022-10-24 13:25:00-04:00","COST"
"492.86","492.38","0.48","2022-10-24 13:30:00-04:00","COST"
"493.42","492.7","0.72","2022-10-24 13:35:00-04:00","COST"
"493.82","492.98","0.84","2022-10-24 13:40:00-04:00","COST"
"494.12","493.13","0.99","2022-10-24 13:45:00-04:00","COST"
"493.49","492.64","0.85","2022-10-24 13:50:00-04:00","COST"
